name,locationId,builtBy,builtYear,supplementaryInfo
Administration Building,1,,1912,"Originally the Manitoba Agricultural College when it was built in 1912, it is now the Administration Building. Its central location and strong visual lines make it the focus of the campus. Photos and drawings of the building are often used to represent the whole university. The unique cross-plan staircase inside is a striking feature."
Engineering and Information Technology Complex,2,,,"The large three building complex is separated from University Centre by a large open area between the buildings that is a popular meeting and lunch area in summer. The red brick section (Engineering 1) is one of the original campus buildings. Engineering 2, facing the Duckworth Quadrangle, opened just in time for Fall 2005 classes to begin. Each building is named after former deans; E. P. Fetherstonhaugh, A. E. Macdonald, and Jack Hoogstraten."
Aboriginal House,3,,,"The centre will help the University of Manitoba achieve one of its key priorities which is to increase Aboriginal participation in undergraduate, graduate and professional programs. 

Representatives of the Aboriginal community on campus and selected award-winning Prairie Architects designed the centre. Four of the key members of Prairie Architects' design team are Aboriginal, and have graduated or are completing their studies at the University of Manitoba in Architecture or Interior Design.

Some of the elements in the building (approx. 15,000 square feet & targeted for LEED certification) include a meeting space, circle room for ceremonies, student lounge, computer lab, kitchen, and administrative offices for:

Aboriginal Student Centre with Elders-in-Residence
Aboriginal Student Association
Access program
Office of University Accessibility
Graduate students and sessional instructors in the Department of Native Studies"
University Law Center/Robson Hall,4,,1969,"Prior to moving to their more spacious home at Robson Hall in 1969, law students attended classes in the old law Courts Building in downtown winnipeg. Accommodations were so cramped in this building that there were even offices locates in stairwells on the landings between floors. Also, as jurors frequently used the students' common room, students were forced to spend their downtime in the corridor windowsills."
University College,5,,1963,"W.L. Morton founded Univserity College in 1963. Morton attempted to create an indentity for the college inspired by the customs at Oxford University, members of the college were expected to wear burgundy gowns, have their own tutor, and eat a set number of meals at the ""high table"" in the college dining room, the Great Hall. Morton's vision was eentually abandoned since, among other grievances, the students disliked the gowns and the tutors ahd no academic authority."
University College Residency,6,,1963,"W.L. Morton founded Univserity College in 1963. Morton attempted to create an indentity for the college inspired by the customs at Oxford University, members of the college were expected to wear burgundy gowns, have their own tutor, and eat a set number of meals at the ""high table"" in the college dining room, the Great Hall. Morton's vision was eentually abandoned since, among other grievances, the students disliked the gowns and the tutors ahd no academic authority."
Agriculture Canada,7,,,
Agriculture Building,8,,1996,The new Agriculture Building opened in November 1996 and features lecture theatres and laboratories
Agriculture Research Building,9,,"1948, 1958, 1962",This three-story block links together two barns reconstructed in 1948.  The building opened in 1958 with additions to the rear completed in 1962.
Alumni House,10,,1939,"Originally known as the Home Management House, it was built in 1939 as a training center to allow students an opportunity to deal with a child's daily routine.  Ten women would move into the house for a month to practice home management and childcare on their current Welfare Association child."
Animal Science/Entomolgy,11,,1962,This building was opened in 1962.? The second floor houses the Department of Entomology
JB Walls/RE Roughley Museum of Entomology,12,,1962,Share building with Animal Science building
Elizabeth Dafoe Library,13,,1952,"The main campus library was built in 1952 and  was named after Elizabeth Dafoe, the University's chief librarian from 1937 to 1960.  The Sifton wing was added in 1978 as one of the University's Centennial Projects."
Duff Roblin Building,14,,1970,"This structure was completed in 1970 and houses the Department of Psychology and the Zoology laboratories.  The building is named after former Premier Duff Roblin, a good friend to the University while in office and in his subsequent retirement.  He is responsible for the Roblin Commission Report on the State of Universities in Manitoba."
Ellis Building,15,,1966,The original building was completed in 1966.  By 1969 a second floor had been added to the structure with a new two-story wing to house the Department of Soil Science and Food Science.  Joseph H. Ellis was both a student at the Agricultural College and long-time professor in the Faculty of Soil Science.  The Fisheries Research Board of Canada leases a portion of the complex.
