latitude,longitude
49.80958,-97.132739
49.80861,-97.13407
49.808344,-97.137562
49.811945,-97.130702
49.811391,-97.130144
49.81136,-97.129956
49.810061,-97.128635
49.806789,-97.135223
49.807347,-97.133865
49.806173,-97.139874
49.806021,-97.137422
49.80582,-97.13783
49.809919,-97.131795
49.811124,-97.132128
49.804812,-97.136838
49.808662,-97.13408
49.80859,-97.133297
49.810005,-97.134488
49.80698,-97.138661
49.803788,-97.140566
49.80922,-97.13967
49.809474,-97.130524
49.811274,-97.133429
49.807066,-97.131613
49.807499,-97.131192
49.808294,-97.139131
49.806779,-97.134569
49.808129,-97.135228
49.810975,-97.134391
49.811231,-97.134525
49.810989,-97.133855
49.810653,-97.134681
49.810912,-97.140925
49.810528,-97.13687
49.810127,-97.137658
49.809268,-97.134262
49.811754,-97.135754
49.80924,-97.131028
49.809708,-97.130985
49.809604,-97.135808
49.809074,-97.135636
49.808905,-97.136553
49.807451,-97.138688
49.809718,-97.134692
49.810715,-97.134638
49.810777,-97.132139
49.810781,-97.132101
49.810026,-97.12856
49.809593,-97.125862
49.809143,-97.126763
49.808852,-97.129022
49.80854,-97.130105
49.808077,-97.130153
49.808011,-97.13408
49.808087,-97.131478
49.806685,-97.132664
49.805947,-97.133431
49.805587,-97.133817
49.805286,-97.134912
49.806442,-97.134659
49.805525,-97.136065
49.8037,-97.138296
